Máximo;Mínimo            ;Media           ;Fecha máximo                    ;Fecha mínimo;fecha         
585 ;483,28            ;545             ;2010-01-01 22:30:00             ;2010-01-01 00:00:00;2010-01-01 00:00:00
585 ;532,12            ;556             ;2010-01-02 00:00:00             ;2010-01-02 21:45:00;2010-01-02 00:00:00
528 ;450,8             ;498             ;2010-01-03 00:00:00             ;2010-01-03 23:30:00;2010-01-03 00:00:00
451 ;386               ;408             ;2010-01-04 00:00:00             ;2010-01-04 19:00:00;2010-01-04 00:00:00
418 ;386               ;405             ;2010-01-05 08:15:00             ;2010-01-05 00:00:00;2010-01-05 00:00:00
410 ;390,05            ;405             ;2010-01-06 09:00:00             ;2010-01-06 23:15:00;2010-01-06 00:00:00
390 ;350               ;368             ;2010-01-07 00:00:00             ;2010-01-07 23:00:00;2010-01-07 00:00:00
350 ;321,2             ;336             ;2010-01-08 00:00:00             ;2010-01-08 22:45:00;2010-01-08 00:00:00
321 ;299,6             ;308             ;2010-01-09 00:00:00             ;2010-01-09 23:15:00;2010-01-09 00:00:00
300 ;285,2             ;288             ;2010-01-10 00:00:00             ;2010-01-10 08:15:00;2010-01-10 00:00:00
285 ;253,85            ;271             ;2010-01-11 00:30:00             ;2010-01-11 22:15:00;2010-01-11 00:00:00
250 ;240,05            ;243             ;2010-01-12 00:00:00             ;2010-01-12 09:00:00;2010-01-12 00:00:00
250 ;240,05            ;244             ;2010-01-13 23:30:00             ;2010-01-13 00:00:00;2010-01-13 00:00:00
325 ;246,95            ;278             ;2010-01-14 21:30:00             ;2010-01-14 04:15:00;2010-01-14 00:00:00
662 ;324,8             ;442             ;2010-01-15 23:45:00             ;2010-01-15 00:00:00;2010-01-15 00:00:00
1161;666,43            ;895             ;2010-01-16 23:45:00             ;2010-01-16 00:00:00;2010-01-16 00:00:00
1549;1170,36           ;1408            ;2010-01-17 22:45:00             ;2010-01-17 00:00:00;2010-01-17 00:00:00
1549;1145,6            ;1409            ;2010-01-18 00:00:00             ;2010-01-18 23:45:00;2010-01-18 00:00:00
1136;750,4             ;908             ;2010-01-19 00:00:00             ;2010-01-19 23:45:00;2010-01-19 00:00:00
750 ;608,5             ;667             ;2010-01-20 00:00:00             ;2010-01-20 23:30:00;2010-01-20 00:00:00
609 ;552,6             ;578             ;2010-01-21 00:00:00             ;2010-01-21 22:30:00;2010-01-21 00:00:00
553 ;492,4             ;525             ;2010-01-22 00:00:00             ;2010-01-22 23:30:00;2010-01-22 00:00:00
492 ;416,5             ;446             ;2010-01-23 00:00:00             ;2010-01-23 18:15:00;2010-01-23 00:00:00
450 ;367,467           ;409             ;2010-01-24 03:15:00             ;2010-01-24 22:45:00;2010-01-24 00:00:00
367 ;337,333           ;353             ;2010-01-25 00:00:00             ;2010-01-25 22:45:00;2010-01-25 00:00:00
375 ;333,567           ;345             ;2010-01-26 22:45:00             ;2010-01-26 01:00:00;2010-01-26 00:00:00
412 ;375               ;403             ;2010-01-27 08:45:00             ;2010-01-27 00:00:00;2010-01-27 00:00:00
392 ;344,867           ;372             ;2010-01-28 00:00:00             ;2010-01-28 23:30:00;2010-01-28 00:00:00
349 ;314,733           ;330             ;2010-01-29 00:00:00             ;2010-01-29 19:45:00;2010-01-29 00:00:00
315 ;307,2             ;312             ;2010-01-30 00:00:00             ;2010-01-30 02:30:00;2010-01-30 00:00:00
570 ;310,967           ;395             ;2010-01-31 23:45:00             ;2010-01-31 00:00:00;2010-01-31 00:00:00
733 ;574,1             ;670             ;2010-02-01 23:00:00             ;2010-02-01 00:00:00;2010-02-01 00:00:00
763 ;724,6             ;752             ;2010-02-02 11:30:00             ;2010-02-02 23:45:00;2010-02-02 00:00:00
725 ;574,1             ;639             ;2010-02-03 00:00:00             ;2010-02-03 23:30:00;2010-02-03 00:00:00
574 ;492,4             ;533             ;2010-02-04 00:00:00             ;2010-02-04 23:30:00;2010-02-04 00:00:00
492 ;420,65            ;452             ;2010-02-05 00:00:00             ;2010-02-05 23:45:00;2010-02-05 00:00:00
450 ;412,35            ;420             ;2010-02-06 23:45:00             ;2010-02-06 01:15:00;2010-02-06 00:00:00
523 ;449,7             ;498             ;2010-02-07 17:00:00             ;2010-02-07 00:00:00;2010-02-07 00:00:00
535 ;492,4             ;508             ;2010-02-08 22:30:00             ;2010-02-08 03:30:00;2010-02-08 00:00:00
544 ;526,8             ;540             ;2010-02-09 05:45:00             ;2010-02-09 23:30:00;2010-02-09 00:00:00
527 ;513,9             ;519             ;2010-02-10 00:00:00             ;2010-02-10 13:00:00;2010-02-10 00:00:00
531 ;513,9             ;523             ;2010-02-11 12:30:00             ;2010-02-11 00:00:00;2010-02-11 00:00:00
514 ;470,9             ;495             ;2010-02-12 00:00:00             ;2010-02-12 23:15:00;2010-02-12 00:00:00
471 ;437,25            ;455             ;2010-02-13 00:00:00             ;2010-02-13 22:00:00;2010-02-13 00:00:00
437 ;395,75            ;415             ;2010-02-14 00:00:00             ;2010-02-14 20:30:00;2010-02-14 00:00:00
396 ;371,233           ;380             ;2010-02-15 00:00:00             ;2010-02-15 19:45:00;2010-02-15 00:00:00
371 ;352,4             ;359             ;2010-02-16 00:00:00             ;2010-02-16 18:00:00;2010-02-16 00:00:00
352 ;344,867           ;347             ;2010-02-17 00:15:00             ;2010-02-17 04:00:00;2010-02-17 00:00:00
514 ;348,633           ;407             ;2010-02-18 23:45:00             ;2010-02-18 00:00:00;2010-02-18 00:00:00
